gene_id,count,frequency,compartment
dcuB,839,1.0,Core
group_2779,839,1.0,Core
group_2778,839,1.0,Core
spoT,839,1.0,Core
group_2777,839,1.0,Core
bioM,839,1.0,Core
mycP1,839,1.0,Core
ribF~~~ribF_1~~~ribF_2,839,1.0,Core
ricR,839,1.0,Core
group_2771,839,1.0,Core
alsD,839,1.0,Core
group_2769,839,1.0,Core
group_2768,839,1.0,Core
phzF,839,1.0,Core
mtr,839,1.0,Core
group_2760,839,1.0,Core
group_2757,839,1.0,Core
group_2756,839,1.0,Core
rpe,839,1.0,Core
group_2752,839,1.0,Core
group_2750,839,1.0,Core
ufaA1,839,1.0,Core
hemB,839,1.0,Core
group_2747,839,1.0,Core
gntU~~~idnT_1~~~idnT~~~gntT~~~idnT_2~~~ygbN,839,1.0,Core
group_2744,839,1.0,Core
group_2742,839,1.0,Core
hisE,839,1.0,Core
nphR~~~rhaS~~~rhaR,839,1.0,Core
group_2741,839,1.0,Core
pyrE_1,839,1.0,Core
group_2736,839,1.0,Core
glgB_2~~~nplT~~~glgE_1,839,1.0,Core
group_2735,839,1.0,Core
group_2733,839,1.0,Core
mfd,839,1.0,Core
group_2728,839,1.0,Core
glfT2,839,1.0,Core
qacA_1~~~qacA~~~mdtD,839,1.0,Core
poxB,839,1.0,Core
abaF_1~~~yhjE~~~abaF_3~~~nanT_1~~~nanT~~~abaF_4,839,1.0,Core
azoR,839,1.0,Core
dapB,839,1.0,Core
fgd_3~~~fgd_4~~~fgd_1,839,1.0,Core
group_2722,839,1.0,Core
group_2721,839,1.0,Core
artM,839,1.0,Core
group_2720,839,1.0,Core
group_2719,839,1.0,Core
lutA_2~~~lutA_1~~~napF~~~fadF,839,1.0,Core
tadA,839,1.0,Core
group_2711,839,1.0,Core
mscL,839,1.0,Core
slmA,839,1.0,Core
group_2697,839,1.0,Core
pknD_1~~~pknD_2,839,1.0,Core
group_2692,839,1.0,Core
tatD,839,1.0,Core
group_2690,839,1.0,Core
group_2689,839,1.0,Core
group_2688,839,1.0,Core
rbsK~~~rbsK_1~~~rbsK_2~~~RBKS,839,1.0,Core
focA~~~nirC,839,1.0,Core
tesB,839,1.0,Core
group_2682,839,1.0,Core
mprB~~~mprB_1~~~mprB_2~~~sasA_1~~~sasA_2,839,1.0,Core
group_2681,839,1.0,Core
group_2674,839,1.0,Core
rplY,839,1.0,Core
group_2668,839,1.0,Core
group_2667,839,1.0,Core
nudL,839,1.0,Core
nth,839,1.0,Core
group_2666,839,1.0,Core
lpqB~~~lpqB_2~~~lpqB_1,839,1.0,Core
group_2663,839,1.0,Core
group_2662,839,1.0,Core
group_2661,839,1.0,Core
ispD,839,1.0,Core
group_2658,839,1.0,Core
fadI_2~~~fadA~~~fadI_1~~~fadI,839,1.0,Core
group_2657,839,1.0,Core
pimB,839,1.0,Core
group_2656,839,1.0,Core
fatE,839,1.0,Core
suhB~~~cysQ_2~~~cysQ_3,839,1.0,Core
ftsE,839,1.0,Core
group_2652,839,1.0,Core
tagH,839,1.0,Core
group_2649,839,1.0,Core
lepB_1,839,1.0,Core
group_2648,839,1.0,Core
ppiB,839,1.0,Core
metXA,839,1.0,Core
ypbG,839,1.0,Core
group_2645,839,1.0,Core
mctB,839,1.0,Core
ppk2B,839,1.0,Core
group_2637,839,1.0,Core
macB_1~~~macB_2~~~cysA~~~hrtA~~~macB_3,839,1.0,Core
nnr~~~CARKD~~~APOA1BP,839,1.0,Core
pstS2~~~pstS3,839,1.0,Core
bcrA_2~~~bcrA_1~~~bcrA_3,839,1.0,Core
ytrA,839,1.0,Core
truB,839,1.0,Core
cpdA,839,1.0,Core
btuD_8~~~btuD_5~~~btuD_1~~~btuD_2~~~btuD_4,839,1.0,Core
zur,839,1.0,Core
group_2633,839,1.0,Core
hdpA,839,1.0,Core
aniA,839,1.0,Core
SIRT4~~~cobB,839,1.0,Core
pdxY_1~~~pdxY~~~pdxY_2,839,1.0,Core
group_2628,839,1.0,Core
amn~~~amn_1~~~slyA~~~ohrR~~~amn_2,839,1.0,Core
glpC,839,1.0,Core
group_2623,839,1.0,Core
pafB,839,1.0,Core
helY~~~helY_1~~~helY_2,839,1.0,Core
group_2622,839,1.0,Core
group_2620,839,1.0,Core
thiL_1~~~thiL~~~thiL_2,839,1.0,Core
group_2619,839,1.0,Core
lipM,839,1.0,Core
thiD~~~pdxK,839,1.0,Core
group_2618,839,1.0,Core
group_2617,839,1.0,Core
murB,839,1.0,Core
group_2615,839,1.0,Core
group_2614,839,1.0,Core
lcpA,839,1.0,Core
group_2611,839,1.0,Core
group_2610,839,1.0,Core
secD,839,1.0,Core
tsaE,839,1.0,Core
ipsA,839,1.0,Core
pyrD,839,1.0,Core
gcvT,839,1.0,Core
menA,839,1.0,Core
group_2608,839,1.0,Core
group_2607,839,1.0,Core
mrp,839,1.0,Core
group_2605,839,1.0,Core
dprA_2~~~dprA,839,1.0,Core
recF,839,1.0,Core
group_2604,839,1.0,Core
group_2603,839,1.0,Core
pepN_2~~~pepN_1,839,1.0,Core
menD~~~menD_2~~~menD_1,839,1.0,Core
btuD_8~~~fepC_2~~~btuD_10~~~btuD_5~~~btuD_7~~~fhuC,839,1.0,Core
btuF_1~~~btuF_2,839,1.0,Core
aspC~~~aspC_2~~~aspC_3~~~aspC_1,839,1.0,Core
kefC_2~~~kefC_1~~~kefB,839,1.0,Core
galK_1~~~galK_2,839,1.0,Core
group_2598,839,1.0,Core
nrnA~~~dinF,839,1.0,Core
group_2596,839,1.0,Core
ftsK,839,1.0,Core
group_2592,839,1.0,Core
group_2589,839,1.0,Core
senX3,839,1.0,Core
mshA_1~~~mshA~~~mshA_2,839,1.0,Core
group_2587,839,1.0,Core
lysC,839,1.0,Core
group_2586,839,1.0,Core
proA~~~proA_2~~~proA_1,839,1.0,Core
group_2585,839,1.0,Core
group_2584,839,1.0,Core
miaA,839,1.0,Core
rnd,839,1.0,Core
rlmD~~~rlmD_1~~~rlmD_2,839,1.0,Core
rkpK,839,1.0,Core
fadN~~~fadB~~~fadB_2,839,1.0,Core
group_2581,839,1.0,Core
group_2580,839,1.0,Core
metC_1~~~metC~~~metC_2,839,1.0,Core
brnQ,839,1.0,Core
ftsW~~~mrdB~~~ftsW_1~~~ftsW_2,839,1.0,Core
tig,839,1.0,Core
group_2577,839,1.0,Core
gltP~~~gltT,839,1.0,Core
pncB1_2~~~pncB1_1~~~pncB1,839,1.0,Core
tetR,839,1.0,Core
dinG_2~~~dinG_1,839,1.0,Core
fgd_3~~~fgd_1~~~fgd_4~~~fgd_2,839,1.0,Core
glsA~~~glsA_1~~~glsA_2,839,1.0,Core
dauA~~~bicA,839,1.0,Core
group_2573,839,1.0,Core
group_2572,839,1.0,Core
dapE_3~~~dapE_2~~~dapE_1~~~dapE_4,839,1.0,Core
ktrA,839,1.0,Core
btuD_9~~~btuD_7~~~btuD_6~~~ettA_1~~~btuD_2,839,1.0,Core
argH,839,1.0,Core
group_2569,839,1.0,Core
group_2567,839,1.0,Core
srpC~~~chrA,839,1.0,Core
purB,839,1.0,Core
dapb1~~~dapb1_2~~~dapb1_1~~~ptrB,839,1.0,Core
group_2565,839,1.0,Core
rpoD~~~sigA,839,1.0,Core
dxr,839,1.0,Core
fpuA~~~yhfQ,839,1.0,Core
group_2563,839,1.0,Core
yfcA,839,1.0,Core
group_2560,839,1.0,Core
mhpT~~~pcaK~~~nanT~~~nanT_1,839,1.0,Core
sad_2~~~sad_3~~~sad_1~~~betB,839,1.0,Core
group_2559,839,1.0,Core
group_2558,839,1.0,Core
group_2557,839,1.0,Core
dinG_3~~~dinG_5~~~dinG_2~~~dinG_4,839,1.0,Core
group_2554,839,1.0,Core
mptA,839,1.0,Core
smc_1,839,1.0,Core
group_2552,839,1.0,Core
group_2549,839,1.0,Core
ccs1,839,1.0,Core
hisN,839,1.0,Core
pnp~~~pnp_1,839,1.0,Core
group_2540,839,1.0,Core
group_2539,839,1.0,Core
thiO~~~mnmC,839,1.0,Core
thiC,839,1.0,Core
group_2537,839,1.0,Core
serA,839,1.0,Core
nrdD,839,1.0,Core
group_2533,839,1.0,Core
group_2530,839,1.0,Core
folC~~~murE_1,839,1.0,Core
bglF,839,1.0,Core
ligA,839,1.0,Core
glxK~~~garK,839,1.0,Core
group_2525,839,1.0,Core
aceF~~~gcvH_2~~~aceF_2~~~aceF_1,839,1.0,Core
fmt,839,1.0,Core
priA,839,1.0,Core
group_2523,839,1.0,Core
pheT,839,1.0,Core
group_2519,839,1.0,Core
clpB_2~~~clpB~~~clpB_1,839,1.0,Core
smc_3~~~smc_5~~~smc_2~~~smc_1,839,1.0,Core
group_2516,839,1.0,Core
group_2515,839,1.0,Core
clpC1,839,1.0,Core
group_2514,839,1.0,Core
czcO,839,1.0,Core
topA_1~~~topA_2~~~topA,839,1.0,Core
group_2513,839,1.0,Core
group_2512,839,1.0,Core
rocA,839,1.0,Core
group_2511,839,1.0,Core
group_2510,839,1.0,Core
dhaK,839,1.0,Core
group_2505,839,1.0,Core
ipdC,839,1.0,Core
group_2503,839,1.0,Core
dnaK,839,1.0,Core
dnaJ1,839,1.0,Core
lutA_3~~~lutA_1~~~glpC,839,1.0,Core
sdaC_4~~~tdcC~~~sdaC_2~~~sdaC_5~~~sdaC_3~~~sdaC_1,839,1.0,Core
groL2_2~~~groL2_1~~~groL2,839,1.0,Core
group_2495,839,1.0,Core
sucD~~~sucD_1~~~sucD_2,839,1.0,Core
group_2492,839,1.0,Core
group_2491,839,1.0,Core
group_2489,839,1.0,Core
group_2488,839,1.0,Core
group_2486,839,1.0,Core
amt~~~amt_1~~~amt_2~~~nrgA,839,1.0,Core
group_2485,839,1.0,Core
group_2484,839,1.0,Core
ftnA~~~bfrB,839,1.0,Core
group_2482,839,1.0,Core
yciC,839,1.0,Core
group_2481,839,1.0,Core
group_2480,839,1.0,Core
group_2479,839,1.0,Core
group_2475,839,1.0,Core
helD~~~recD,839,1.0,Core
group_2472,839,1.0,Core
group_2469,839,1.0,Core
crgA,839,1.0,Core
group_2467,839,1.0,Core
cinA_1~~~pgsA~~~cinA~~~cinA_2,839,1.0,Core
metG,839,1.0,Core
group_2465,839,1.0,Core
dpnM~~~dpnM_2,839,1.0,Core
mdtG~~~yfmO~~~ycaD~~~qacA_1,839,1.0,Core
group_2462,839,1.0,Core
group_2461,839,1.0,Core
group_2460,839,1.0,Core
rhlE_1~~~rhlE_3~~~rhlE_2,839,1.0,Core
macB_2~~~macB,839,1.0,Core
lexA,839,1.0,Core
iolT~~~iolT_2~~~iolT_1,839,1.0,Core
group_2455,839,1.0,Core
pbpB,839,1.0,Core
group_2454,839,1.0,Core
group_2451,839,1.0,Core
rlmAII,839,1.0,Core
ilvB1,839,1.0,Core
proC,839,1.0,Core
ftsY~~~zipA,839,1.0,Core
group_2440,839,1.0,Core
group_2439,839,1.0,Core
group_2434,839,1.0,Core
fadD_2,839,1.0,Core
namA~~~namA_1~~~namA_2,839,1.0,Core
group_2431,839,1.0,Core
ctaA,839,1.0,Core
group_2420,839,1.0,Core
hisF,839,1.0,Core
hisA,839,1.0,Core
gltX1,839,1.0,Core
pknG~~~pknD_4~~~pknD_3,839,1.0,Core
mltF,839,1.0,Core
gabD2~~~gabD2_2~~~gabD2_1,839,1.0,Core
group_2411,839,1.0,Core
yknY_1,839,1.0,Core
mepM,839,1.0,Core
group_2409,839,1.0,Core
pnbA,839,1.0,Core
group_2405,839,1.0,Core
group_2401,839,1.0,Core
group_2400,839,1.0,Core
rpsQ,839,1.0,Core
group_2395,839,1.0,Core
group_2394,839,1.0,Core
betP~~~caiT,839,1.0,Core
menC~~~menC_1,839,1.0,Core
group_2393,839,1.0,Core
group_2389,839,1.0,Core
group_2388,839,1.0,Core
rbsC,839,1.0,Core
acpS,839,1.0,Core
aroA,839,1.0,Core
group_2379,839,1.0,Core
group_2378,839,1.0,Core
cysS_2~~~cysS,839,1.0,Core
gltX~~~gluQ,839,1.0,Core
group_2376,839,1.0,Core
group_2375,839,1.0,Core
group_2373,839,1.0,Core
group_2372,839,1.0,Core
group_2362,839,1.0,Core
group_2361,839,1.0,Core
group_2358,839,1.0,Core
group_2356,839,1.0,Core
dctA~~~sstT~~~gltT,839,1.0,Core
group_2352,839,1.0,Core
group_2350,839,1.0,Core
putP,839,1.0,Core
group_2343,839,1.0,Core
group_2342,839,1.0,Core
rimI,839,1.0,Core
ftsZ,839,1.0,Core
group_2340,839,1.0,Core
mmuM,839,1.0,Core
group_2337,839,1.0,Core
gsiC_2~~~dppB_2~~~gsiC_1,839,1.0,Core
group_2334,839,1.0,Core
group_2333,839,1.0,Core
group_2332,839,1.0,Core
group_2331,839,1.0,Core
group_2329,839,1.0,Core
group_2328,839,1.0,Core
group_2327,839,1.0,Core
group_2326,839,1.0,Core
group_2325,839,1.0,Core
selA,839,1.0,Core
group_2321,839,1.0,Core
group_2320,839,1.0,Core
mntB_3,839,1.0,Core
hisB_1~~~hisB_2~~~hisB,839,1.0,Core
betI_6~~~betI_5~~~betI_1~~~betI_2~~~betI_3~~~betI_4~~~betI_9,839,1.0,Core
mgtA_1,839,1.0,Core
group_2316,839,1.0,Core
pat_1~~~dapC~~~dapC_1~~~dapC_2,839,1.0,Core
group_2313,839,1.0,Core
group_2312,839,1.0,Core
group_2310,839,1.0,Core
esxA,839,1.0,Core
ansA,839,1.0,Core
rspR_1,839,1.0,Core
group_2309,839,1.0,Core
group_2308,839,1.0,Core
bphC,839,1.0,Core
group_2305,839,1.0,Core
crtB,839,1.0,Core
hisG~~~hisG_1~~~hisG_2,839,1.0,Core
trpG,839,1.0,Core
group_2303,839,1.0,Core
dop,839,1.0,Core
pup,839,1.0,Core
group_2301,839,1.0,Core
tag,839,1.0,Core
group_2300,839,1.0,Core
yhbO,839,1.0,Core
group_2299,839,1.0,Core
group_2298,839,1.0,Core
betA~~~betA_2~~~betA_1,839,1.0,Core
group_2297,839,1.0,Core
fruA_1~~~fruA_2~~~fruA,839,1.0,Core
group_2295,839,1.0,Core
group_2294,839,1.0,Core
group_2293,839,1.0,Core
group_2291,839,1.0,Core
yejF,839,1.0,Core
group_2290,839,1.0,Core
gltC~~~gltC_2~~~gltC_3~~~gltC_1,839,1.0,Core
group_2289,839,1.0,Core
group_2288,839,1.0,Core
nmtR,839,1.0,Core
hutU,839,1.0,Core
group_2287,839,1.0,Core
group_2285,839,1.0,Core
group_2284,839,1.0,Core
group_2283,839,1.0,Core
group_2282,839,1.0,Core
ribZ_1~~~ribZ_2~~~mdtD~~~emrB,839,1.0,Core
lysS1_1~~~lysS1_2~~~lysS1,839,1.0,Core
tkt,839,1.0,Core
group_2281,839,1.0,Core
sdaB~~~tdcG~~~sdaA_2,839,1.0,Core
cstA_2~~~cstA_1~~~cstA~~~btsT_1,839,1.0,Core
apt,839,1.0,Core
group_2278,839,1.0,Core
cspA,839,1.0,Core
group_2277,839,1.0,Core
nagR,839,1.0,Core
group_2276,839,1.0,Core
group_2273,839,1.0,Core
group_2272,839,1.0,Core
menH_1~~~menH~~~menH_2,839,1.0,Core
group_2271,839,1.0,Core
panB,839,1.0,Core
group_2270,839,1.0,Core
lpqI~~~nagZ,839,1.0,Core
group_2266,839,1.0,Core
slyA,839,1.0,Core
group_2256,839,1.0,Core
thyA,839,1.0,Core
group_2255,839,1.0,Core
group_2252,839,1.0,Core
yidC_2,839,1.0,Core
group_2248,839,1.0,Core
group_2247,839,1.0,Core
suhB_1~~~cysQ_1~~~suhB_2~~~cysQ_3~~~cysQ_2,839,1.0,Core
mmsB~~~garR~~~mmsB_2~~~mmsB_1,839,1.0,Core
group_2235,839,1.0,Core
group_2232,839,1.0,Core
group_2231,839,1.0,Core
pgm,839,1.0,Core
coaBC,839,1.0,Core
gatA,839,1.0,Core
atpC,839,1.0,Core
group_2206,839,1.0,Core
rnhB,839,1.0,Core
group_2202,839,1.0,Core
group_2201,839,1.0,Core
group_2197,839,1.0,Core
group_2195,839,1.0,Core
group_2192,839,1.0,Core
group_2191,839,1.0,Core
group_2189,839,1.0,Core
gabP_2~~~gabP_1,839,1.0,Core
group_2187,839,1.0,Core
group_2186,839,1.0,Core
group_2185,839,1.0,Core
group_2184,839,1.0,Core
group_2183,839,1.0,Core
group_2182,839,1.0,Core
yrdA~~~caiE,839,1.0,Core
group_2179,839,1.0,Core
group_2178,839,1.0,Core
xecA1~~~metE_1~~~metE_2,839,1.0,Core
group_2174,839,1.0,Core
group_2171,839,1.0,Core
bioY,839,1.0,Core
pyrF,839,1.0,Core
group_2168,839,1.0,Core
dtpT~~~dtpT_2~~~dtpT_1,839,1.0,Core
clpP1,839,1.0,Core
clpP2_1~~~clpP2_2~~~clpP2,839,1.0,Core
group_2164,839,1.0,Core
def_1~~~def_2,839,1.0,Core
group_2163,839,1.0,Core
mtgA~~~pbpF~~~ftsI,839,1.0,Core
group_2162,839,1.0,Core
alaC~~~dapL,839,1.0,Core
group_2161,839,1.0,Core
group_2160,839,1.0,Core
rplF,839,1.0,Core
rpsE,839,1.0,Core
group_2159,839,1.0,Core
gdh,839,1.0,Core
group_2155,839,1.0,Core
group_2153,839,1.0,Core
lutC,839,1.0,Core
liaR_1~~~degU_2~~~liaR_3,839,1.0,Core
group_2152,839,1.0,Core
dinG_2~~~dinG_3,839,1.0,Core
ygfZ,839,1.0,Core
rhtC_2,839,1.0,Core
yhfK,839,1.0,Core
dedA,839,1.0,Core
metP,839,1.0,Core
kipR~~~kdgR,839,1.0,Core
group_2144,839,1.0,Core
group_2140,839,1.0,Core
group_2139,839,1.0,Core
btuD_6~~~btuD_7,839,1.0,Core
group_2138,839,1.0,Core
ybeY,839,1.0,Core
rsmE,839,1.0,Core
embC,839,1.0,Core
alsT_2,839,1.0,Core
pheA,839,1.0,Core
group_2134,839,1.0,Core
amnC~~~betB_1~~~puuC,839,1.0,Core
group_2129,839,1.0,Core
group_2128,839,1.0,Core
group_2127,839,1.0,Core
mdlB~~~yheI~~~hepA~~~msbA_2,839,1.0,Core
group_2126,839,1.0,Core
bcr~~~bcr_2~~~mdtL_1~~~bcr_1,839,1.0,Core
tlyA,839,1.0,Core
recN,839,1.0,Core
menF_2~~~menF_1,839,1.0,Core
rlmB~~~trmL_2~~~trmH_1~~~rlmB_2~~~rlmB_1,839,1.0,Core
group_2119,839,1.0,Core
cysE,839,1.0,Core
yidC_1,839,1.0,Core
ecfT_1~~~ecfT_3~~~ecfT_2,839,1.0,Core
ctaF,839,1.0,Core
group_2116,839,1.0,Core
group_2115,839,1.0,Core
dinB,839,1.0,Core
mca,839,1.0,Core
group_2112,839,1.0,Core
group_2110,839,1.0,Core
group_2109,839,1.0,Core
rihA_1~~~rihA_2,839,1.0,Core
group_2107,839,1.0,Core
ppx2~~~ppx2_1~~~ppx2_2,839,1.0,Core
group_2105,839,1.0,Core
xseB,839,1.0,Core
group_2103,839,1.0,Core
purK~~~purK_2~~~purK_1,839,1.0,Core
glpE,839,1.0,Core
group_2102,839,1.0,Core
ponA1,839,1.0,Core
nusG,839,1.0,Core
selO,839,1.0,Core
mqo_2~~~mqo_1~~~mqo,839,1.0,Core
group_2101,839,1.0,Core
yclQ,839,1.0,Core
group_2100,839,1.0,Core
trpS,839,1.0,Core
group_2098,839,1.0,Core
tyrA,839,1.0,Core
group_2096,839,1.0,Core
pepE,839,1.0,Core
group_2092,839,1.0,Core
group_2090,839,1.0,Core
group_2088,839,1.0,Core
group_2087,839,1.0,Core
hisD_2~~~hisD_1~~~hisD,839,1.0,Core
hisC,839,1.0,Core
ykgO,839,1.0,Core
group_2082,839,1.0,Core
group_2081,839,1.0,Core
upp,839,1.0,Core
dnaA_2~~~dnaA,839,1.0,Core
folK,839,1.0,Core
yfcJ,839,1.0,Core
ydfJ_2~~~ydfJ_1,839,1.0,Core
group_2078,839,1.0,Core
mobA_2~~~mobA_1,839,1.0,Core
group_2076,839,1.0,Core
mshC,839,1.0,Core
yedF~~~tusA,839,1.0,Core
ribD,839,1.0,Core
ydhP~~~ydhP_1~~~ydhP_2,839,1.0,Core
group_2072,839,1.0,Core
group_2071,839,1.0,Core
group_2070,839,1.0,Core
group_2069,839,1.0,Core
group_2067,839,1.0,Core
norW,839,1.0,Core
group_2061,839,1.0,Core
group_2060,839,1.0,Core
hemA,839,1.0,Core
cysG~~~nasF,839,1.0,Core
sepF,839,1.0,Core
group_2056,839,1.0,Core
pyrG~~~pyrG_2~~~pyrG_1,839,1.0,Core
nhaP2~~~nhaK,839,1.0,Core
gph_1~~~gph_2,839,1.0,Core
dctA_2~~~dctA_3~~~dctA_1~~~dctA2,839,1.0,Core
mco~~~ftsP,839,1.0,Core
aroE,839,1.0,Core
betB~~~sad_3~~~sad_1,839,1.0,Core
bcrA_1,839,1.0,Core
